site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-23 07:00:00-04:00,912.0
02092500,"Trent River near Trenton, NC",2018-09-23 08:00:00-04:00,897.0
02092500,"Trent River near Trenton, NC",2018-09-23 09:00:00-04:00,880.5
02092500,"Trent River near Trenton, NC",2018-09-23 10:00:00-04:00,867.5
02092500,"Trent River near Trenton, NC",2018-09-23 11:00:00-04:00,852.5
02092500,"Trent River near Trenton, NC",2018-09-23 12:00:00-04:00,839.25
02092500,"Trent River near Trenton, NC",2018-09-23 13:00:00-04:00,826.25
02092500,"Trent River near Trenton, NC",2018-09-23 14:00:00-04:00,811.25
02092500,"Trent River near Trenton, NC",2018-09-23 15:00:00-04:00,799.5
02092500,"Trent River near Trenton, NC",2018-09-23 16:00:00-04:00,786.5
02092500,"Trent River near Trenton, NC",2018-09-23 17:00:00-04:00,774.5
02092500,"Trent River near Trenton, NC",2018-09-23 18:00:00-04:00,762.5
02092500,"Trent River near Trenton, NC",2018-09-23 19:00:00-04:00,752.0
02092500,"Trent River near Trenton, NC",2018-09-23 20:00:00-04:00,740.75
02092500,"Trent River near Trenton, NC",2018-09-23 21:00:00-04:00,729.25
02092500,"Trent River near Trenton, NC",2018-09-23 22:00:00-04:00,719.25
02092500,"Trent River near Trenton, NC",2018-09-23 23:00:00-04:00,708.75
02092500,"Trent River near Trenton, NC",2018-09-24 00:00:00-04:00,699.75
02092500,"Trent River near Trenton, NC",2018-09-24 01:00:00-04:00,688.5
02092500,"Trent River near Trenton, NC",2018-09-24 02:00:00-04:00,679.75
02092500,"Trent River near Trenton, NC",2018-09-24 03:00:00-04:00,670.25
02092500,"Trent River near Trenton, NC",2018-09-24 04:00:00-04:00,661.5
02092500,"Trent River near Trenton, NC",2018-09-24 05:00:00-04:00,651.5
02092500,"Trent River near Trenton, NC",2018-09-24 06:00:00-04:00,644.0
02092500,"Trent River near Trenton, NC",2018-09-24 07:00:00-04:00,635.75
02092500,"Trent River near Trenton, NC",2018-09-24 08:00:00-04:00,627.5
02092500,"Trent River near Trenton, NC",2018-09-24 09:00:00-04:00,619.5
02092500,"Trent River near Trenton, NC",2018-09-24 10:00:00-04:00,611.5
02092500,"Trent River near Trenton, NC",2018-09-24 11:00:00-04:00,604.0
02092500,"Trent River near Trenton, NC",2018-09-24 12:00:00-04:00,597.0
02092500,"Trent River near Trenton, NC",2018-09-24 13:00:00-04:00,590.0
02092500,"Trent River near Trenton, NC",2018-09-24 14:00:00-04:00,583.5
02092500,"Trent River near Trenton, NC",2018-09-24 15:00:00-04:00,576.75
02092500,"Trent River near Trenton, NC",2018-09-24 16:00:00-04:00,570.5
02092500,"Trent River near Trenton, NC",2018-09-24 17:00:00-04:00,565.0
02092500,"Trent River near Trenton, NC",2018-09-24 18:00:00-04:00,559.0
02092500,"Trent River near Trenton, NC",2018-09-24 19:00:00-04:00,553.5
02092500,"Trent River near Trenton, NC",2018-09-24 20:00:00-04:00,548.5
02092500,"Trent River near Trenton, NC",2018-09-24 21:00:00-04:00,543.5
02092500,"Trent River near Trenton, NC",2018-09-24 22:00:00-04:00,538.5
